App,Category,Rating,Reviews,Size,Installs,Type,Price
App_36,PRODUCTIVITY,3.8,483695,15M,100+,Free,0
App_37,FAMILY,4.5,388053,Varies with device,"50,000,000+",Free,0
App_38,BUSINESS,3.2,286113,5.4M,"50,000,000+",Free,0
App_39,BUSINESS,3.8,66213,32M,"10,000+",Free,0
App_40,PRODUCTIVITY,4.5,381310,15M,"5,000+",Free,0
App_41,LIFESTYLE,4.5,160785,80M,100+,Free,0
App_42,LIFESTYLE,4.5,9347,100M,"10,000+",Free,0
App_43,PRODUCTIVITY,4.1,46437,Varies with device,"5,000+",Free,0
App_44,LIFESTYLE,4.5,323683,32M,"5,000+",Paid,$0.99
App_45,TOOLS,4.1,364177,32M,"1,000,000+",Paid,0
App_46,BUSINESS,4.1,346819,5.4M,100+,Free,0
App_47,PRODUCTIVITY,4.5,105797,5.4M,"5,000+",Free,0
App_48,BUSINESS,4.5,163003,80M,"10,000+",Free,$9.99
App_49,GAME,4.8,295461,100M,"1,000,000+",Free,0
App_50,TOOLS,4.5,420581,80M,100+,Paid,0
App_51,FINANCE,4.5,496494,15M,"50,000,000+",Paid,0
App_52,TOOLS,3.8,127026,15M,"10,000+",Free,0
App_53,PRODUCTIVITY,4.1,266989,80M,"5,000+",Free,0
App_54,FINANCE,4.1,20169,100M,"5,000+",Free,0
App_55,GAME,4.1,497572,80M,"10,000+",Free,0
App_56,PRODUCTIVITY,,178687,100M,"5,000+",Free,0
App_57,FAMILY,4.1,383944,100M,"1,000,000+",Paid,0
App_58,BUSINESS,4.8,367770,Varies with device,100+,Free,0
App_59,GAME,4.5,431314,100M,"1,000,000+",Free,0
App_60,BUSINESS,4.5,340906,5.4M,"5,000+",Paid,0
App_61,LIFESTYLE,4.5,317438,100M,"50,000,000+",Free,0
App_62,FAMILY,4.5,319197,100M,100+,Free,0
App_63,FAMILY,4.1,166629,100M,100+,Free,0
App_64,GAME,3.8,359161,15M,"10,000+",Free,$9.99
App_65,FAMILY,4.5,82854,5.4M,"10,000+",Free,0
App_66,FINANCE,4.1,27542,5.4M,"50,000,000+",Free,0
App_67,FAMILY,3.2,165431,80M,100+,Free,0
App_68,BUSINESS,4.5,122412,Varies with device,"50,000,000+",Paid,0
App_69,BUSINESS,3.8,118022,100M,"10,000+",Free,0
App_70,PRODUCTIVITY,5.0,438671,32M,"10,000+",Paid,0
App_71,BUSINESS,,398939,Varies with device,100+,Paid,0
App_72,PRODUCTIVITY,5.0,56188,Varies with device,"1,000,000+",Free,0
App_73,BUSINESS,4.1,49417,5.4M,"5,000+",Paid,$2.99
App_74,FINANCE,3.2,463566,Varies with device,"10,000+",Free,0
App_75,PRODUCTIVITY,5.0,51000,100M,"10,000+",Paid,0
App_76,TOOLS,4.1,468898,100M,"1,000,000+",Free,0
App_77,LIFESTYLE,,129483,15M,"1,000,000+",Free,0
App_78,GAME,,458771,100M,"50,000,000+",Free,0
App_79,BUSINESS,4.8,478017,100M,"50,000,000+",Paid,0
App_80,FAMILY,4.1,320295,5.4M,"5,000+",Free,$4.99
App_81,BUSINESS,4.1,417019,100M,"5,000+",Free,0
App_82,FAMILY,4.8,318724,15M,100+,Paid,0
App_83,LIFESTYLE,4.1,226166,32M,"50,000,000+",Free,$9.99
App_84,LIFESTYLE,3.8,168974,5.4M,"10,000+",Free,0
App_85,LIFESTYLE,4.5,1025,32M,"50,000,000+",Free,0
App_86,FAMILY,5.0,61823,5.4M,"10,000+",Free,0
App_87,BUSINESS,4.5,27722,80M,"1,000,000+",Free,0
App_88,LIFESTYLE,4.5,100507,Varies with device,"50,000,000+",Paid,$0.99
App_89,FINANCE,3.8,401641,80M,"1,000,000+",Free,0
App_90,PRODUCTIVITY,4.5,242936,100M,"5,000+",Free,0
App_91,FAMILY,,112826,32M,"5,000+",Free,0
App_92,FAMILY,3.8,128788,100M,100+,Paid,$2.99
App_93,BUSINESS,4.5,62302,Varies with device,"50,000,000+",Paid,0
App_94,FAMILY,4.8,285987,5.4M,"1,000,000+",Free,$4.99
App_95,FAMILY,4.5,135240,Varies with device,"10,000+",Paid,0
App_96,LIFESTYLE,4.5,193762,15M,"5,000+",Free,0
App_97,BUSINESS,4.5,282463,Varies with device,"5,000+",Free,0
App_98,LIFESTYLE,4.1,269124,15M,"10,000+",Free,0
App_99,PRODUCTIVITY,4.1,334628,Varies with device,"1,000,000+",Paid,0
App_100,PRODUCTIVITY,4.8,479930,15M,"1,000,000+",Free,0
App_101,LIFESTYLE,4.8,308694,32M,"50,000,000+",Free,0
App_102,PRODUCTIVITY,4.8,151466,100M,"50,000,000+",Free,$0.99
App_103,BUSINESS,5.0,280171,100M,100+,Free,$9.99
App_104,GAME,4.5,338034,80M,"5,000+",Free,0
App_105,LIFESTYLE,4.5,105580,100M,"50,000,000+",Free,0
App_106,FINANCE,4.5,270856,5.4M,"1,000,000+",Free,0
App_107,FINANCE,4.5,393610,Varies with device,"10,000+",Free,0
App_108,FAMILY,4.5,414,80M,"1,000,000+",Free,0
App_109,PRODUCTIVITY,4.5,434169,5.4M,"5,000+",Free,0
App_110,FINANCE,4.8,179008,5.4M,"1,000,000+",Free,$2.99
App_111,FAMILY,4.1,422415,15M,100+,Free,0
App_112,GAME,4.1,274917,100M,"5,000+",Free,$2.99
App_113,BUSINESS,3.8,149466,32M,"10,000+",Free,$0.99
App_114,BUSINESS,4.5,191182,32M,100+,Free,0
App_115,BUSINESS,3.2,360296,80M,"5,000+",Free,$0.99
App_116,FINANCE,4.1,140942,32M,"10,000+",Free,0
App_117,GAME,4.5,235375,Varies with device,100+,Free,0
App_118,FINANCE,4.1,342796,32M,100+,Free,0
App_119,PRODUCTIVITY,4.5,50622,80M,"5,000+",Free,0
App_120,FINANCE,3.2,285728,32M,"50,000,000+",Free,0
App_121,GAME,3.2,285678,Varies with device,100+,Free,0
App_122,GAME,4.8,200254,15M,100+,Free,0
App_123,PRODUCTIVITY,4.1,273070,80M,"10,000+",Paid,0
App_124,GAME,3.8,4819,15M,"1,000,000+",Free,0
App_125,GAME,4.5,163283,15M,"5,000+",Free,0
App_126,BUSINESS,4.5,184412,15M,"5,000+",Free,0
App_127,PRODUCTIVITY,4.1,144538,5.4M,"50,000,000+",Free,0
App_128,TOOLS,4.5,449623,100M,"50,000,000+",Free,0
App_129,TOOLS,3.8,383442,5.4M,"5,000+",Free,0
App_130,GAME,3.8,38775,100M,"50,000,000+",Paid,0
App_131,TOOLS,4.5,428042,15M,"10,000+",Paid,0
App_132,TOOLS,4.5,307260,80M,"5,000+",Free,0
App_133,GAME,4.5,316086,100M,"50,000,000+",Free,0
App_134,TOOLS,4.5,410326,Varies with device,"5,000+",Free,0
App_135,FINANCE,,319245,Varies with device,"1,000,000+",Free,$4.99
App_136,FAMILY,4.5,21959,32M,100+,Free,0
App_137,PRODUCTIVITY,4.1,201162,100M,"5,000+",Free,$2.99
App_138,FAMILY,4.5,299898,80M,100+,Free,0
App_139,GAME,4.1,176625,5.4M,"50,000,000+",Free,0
App_140,BUSINESS,4.1,370473,15M,100+,Free,0
App_141,PRODUCTIVITY,3.8,92203,32M,"5,000+",Free,0
App_142,GAME,3.2,36197,Varies with device,"1,000,000+",Free,0
App_143,BUSINESS,,138321,5.4M,"50,000,000+",Free,0
App_144,FAMILY,4.8,386608,5.4M,"5,000+",Free,0
App_145,GAME,4.5,276643,15M,"50,000,000+",Paid,0
App_146,PRODUCTIVITY,4.1,189099,100M,"10,000+",Free,0
App_147,PRODUCTIVITY,3.8,61887,Varies with device,100+,Paid,0
App_148,LIFESTYLE,3.8,436351,80M,"10,000+",Free,0
App_149,FINANCE,4.1,312076,5.4M,"5,000+",Free,0
App_150,TOOLS,4.5,94084,15M,"1,000,000+",Free,0
App_151,BUSINESS,4.5,163131,80M,"50,000,000+",Free,$0.99
App_152,LIFESTYLE,4.5,37141,100M,100+,Free,0
App_153,TOOLS,4.1,436170,Varies with device,"50,000,000+",Free,$4.99
App_154,TOOLS,,115775,100M,"5,000+",Free,0
App_155,GAME,4.5,336117,5.4M,"50,000,000+",Paid,0
App_156,TOOLS,4.5,106894,80M,100+,Paid,0
App_157,FINANCE,4.5,125927,80M,"5,000+",Free,0
App_158,PRODUCTIVITY,4.1,286439,80M,"50,000,000+",Free,0
App_159,LIFESTYLE,4.1,299780,5.4M,"1,000,000+",Paid,0
App_160,TOOLS,4.1,173890,5.4M,"5,000+",Paid,0
App_161,GAME,4.5,481690,100M,"5,000+",Paid,0
App_162,FINANCE,3.2,447097,32M,"1,000,000+",Free,0
App_163,FAMILY,3.8,281352,100M,"10,000+",Free,$2.99
App_164,PRODUCTIVITY,3.2,412984,Varies with device,100+,Free,0
App_165,PRODUCTIVITY,3.2,15264,15M,"10,000+",Free,0
App_166,LIFESTYLE,4.8,44248,80M,"50,000,000+",Free,0
App_167,PRODUCTIVITY,4.5,1262,32M,"1,000,000+",Free,0
App_168,TOOLS,4.1,301918,15M,"10,000+",Free,0
App_169,GAME,3.8,339863,32M,"5,000+",Paid,$9.99
App_170,PRODUCTIVITY,4.1,430667,100M,"50,000,000+",Free,0
App_171,PRODUCTIVITY,4.1,485460,5.4M,"50,000,000+",Free,0
App_172,FAMILY,3.8,315836,80M,"10,000+",Free,0
App_173,FAMILY,4.1,321648,100M,"10,000+",Free,$0.99
App_174,BUSINESS,4.1,81327,15M,"1,000,000+",Free,0
App_175,FINANCE,4.5,327369,15M,100+,Free,0
App_176,TOOLS,4.5,78597,15M,"10,000+",Free,0
App_177,PRODUCTIVITY,3.2,498411,15M,"10,000+",Free,0
App_178,PRODUCTIVITY,4.1,6959,15M,"5,000+",Free,0
App_179,GAME,4.5,238907,32M,"50,000,000+",Free,$2.99
App_180,BUSINESS,4.5,317547,100M,100+,Free,0
App_181,FINANCE,4.8,204635,80M,"5,000+",Free,0
App_182,BUSINESS,4.5,138023,5.4M,"1,000,000+",Free,0
App_183,LIFESTYLE,3.8,25944,5.4M,"1,000,000+",Paid,0
App_184,FINANCE,3.8,416612,100M,"10,000+",Paid,0
App_185,PRODUCTIVITY,4.5,256444,100M,"10,000+",Free,0
App_186,PRODUCTIVITY,3.2,455112,5.4M,"1,000,000+",Free,0
App_187,FINANCE,4.5,337899,5.4M,"10,000+",Free,0
App_188,PRODUCTIVITY,5.0,476477,32M,100+,Free,0
App_189,TOOLS,4.5,356610,Varies with device,"10,000+",Free,0
App_190,FINANCE,4.1,315567,80M,"50,000,000+",Free,0
App_191,BUSINESS,4.5,450026,15M,"10,000+",Free,0
App_192,FINANCE,4.1,359393,Varies with device,"5,000+",Free,0
App_193,PRODUCTIVITY,4.5,304472,100M,100+,Free,0
App_194,TOOLS,5.0,250885,5.4M,"5,000+",Free,$2.99
App_195,TOOLS,4.1,463399,Varies with device,"5,000+",Free,0
App_196,LIFESTYLE,,70400,80M,"50,000,000+",Free,0
App_197,BUSINESS,5.0,183411,100M,100+,Free,0
App_198,FAMILY,3.8,253500,15M,100+,Paid,0
App_199,FAMILY,3.8,43098,15M,100+,Free,0
App_200,FINANCE,3.8,247950,80M,100+,Free,$0.99
App_201,LIFESTYLE,3.2,365350,80M,100+,Free,0
App_202,GAME,3.8,433037,5.4M,"50,000,000+",Free,0
App_203,FINANCE,4.5,317633,15M,"10,000+",Paid,0
App_204,LIFESTYLE,3.8,216474,100M,"5,000+",Free,0
App_205,BUSINESS,4.1,218451,Varies with device,100+,Free,0
App_206,BUSINESS,4.8,282117,100M,"10,000+",Free,0
App_207,BUSINESS,3.2,317277,32M,"10,000+",Paid,0
App_208,BUSINESS,4.8,125921,32M,"5,000+",Paid,$0.99
App_209,BUSINESS,4.1,364622,80M,"50,000,000+",Free,0
App_210,LIFESTYLE,3.8,223787,5.4M,"1,000,000+",Free,0
App_211,LIFESTYLE,4.5,335631,32M,"1,000,000+",Free,0
App_212,TOOLS,4.5,276542,15M,"10,000+",Free,0
App_213,FAMILY,4.8,5579,100M,"5,000+",Free,0
App_214,PRODUCTIVITY,4.5,69846,100M,"1,000,000+",Free,0
App_215,BUSINESS,4.8,104583,80M,"10,000+",Free,0
App_216,GAME,4.1,429812,Varies with device,"50,000,000+",Free,0
App_217,PRODUCTIVITY,3.8,258100,80M,"1,000,000+",Free,0
App_218,LIFESTYLE,4.5,143097,Varies with device,"10,000+",Free,0
App_219,GAME,4.8,45012,80M,"10,000+",Paid,0
App_220,GAME,,247676,80M,100+,Free,0
App_221,GAME,4.1,137336,80M,"50,000,000+",Free,0
App_222,TOOLS,4.1,410370,Varies with device,100+,Paid,0
App_223,LIFESTYLE,4.5,155296,Varies with device,"5,000+",Free,0
App_224,GAME,4.1,498880,80M,100+,Free,0
App_225,BUSINESS,5.0,211801,32M,100+,Free,0
App_226,FINANCE,4.8,202856,5.4M,"1,000,000+",Free,0
App_227,GAME,4.1,137172,5.4M,"10,000+",Paid,0
App_228,TOOLS,4.5,142719,5.4M,"50,000,000+",Free,0
App_229,PRODUCTIVITY,4.5,153497,Varies with device,100+,Free,0
App_230,LIFESTYLE,3.8,24081,Varies with device,"50,000,000+",Free,0
App_231,TOOLS,5.0,58253,32M,100+,Free,$2.99
App_232,GAME,4.5,387981,5.4M,"5,000+",Free,0
App_233,LIFESTYLE,4.8,370369,5.4M,100+,Paid,0
App_234,FINANCE,4.1,172322,80M,"1,000,000+",Free,0
App_235,GAME,4.8,257228,Varies with device,"10,000+",Paid,0
App_236,TOOLS,4.1,214889,5.4M,"5,000+",Free,0
App_237,FAMILY,3.2,363724,100M,100+,Free,0
App_238,BUSINESS,5.0,426660,32M,"50,000,000+",Free,0
App_239,PRODUCTIVITY,3.8,331878,100M,"5,000+",Free,0
App_240,TOOLS,4.1,377513,100M,"5,000+",Paid,0
App_241,LIFESTYLE,,337851,32M,100+,Paid,0
App_242,GAME,,28742,100M,"5,000+",Free,0
App_243,BUSINESS,4.5,121475,5.4M,"50,000,000+",Free,0
App_244,GAME,4.5,404540,Varies with device,"5,000+",Free,0
App_245,LIFESTYLE,4.1,417180,32M,"50,000,000+",Free,0
App_246,GAME,4.1,57118,80M,100+,Free,0
App_247,FAMILY,4.1,480270,100M,"10,000+",Free,0
App_248,BUSINESS,4.5,480731,32M,"5,000+",Free,0
App_249,BUSINESS,4.5,111205,15M,"10,000+",Free,0
App_250,LIFESTYLE,4.5,365235,15M,"50,000,000+",Free,0
App_251,PRODUCTIVITY,4.5,36678,Varies with device,"5,000+",Free,0
App_252,FAMILY,3.8,285215,5.4M,"1,000,000+",Free,0
App_253,TOOLS,4.1,341406,Varies with device,"10,000+",Free,0
App_254,GAME,3.8,39759,Varies with device,"5,000+",Free,$9.99
App_255,FINANCE,4.5,130570,Varies with device,"10,000+",Free,0
App_256,GAME,4.1,366834,Varies with device,"5,000+",Free,0
App_257,GAME,4.8,147989,80M,100+,Free,0
App_258,TOOLS,4.1,149859,80M,"10,000+",Free,0
App_259,GAME,3.8,224311,32M,"1,000,000+",Free,$4.99
App_260,FAMILY,3.8,51755,15M,"1,000,000+",Free,0
App_261,FAMILY,4.5,370618,Varies with device,"50,000,000+",Free,0
App_262,BUSINESS,4.5,91875,32M,"5,000+",Paid,0
App_263,LIFESTYLE,3.8,374582,15M,"10,000+",Free,0
App_264,PRODUCTIVITY,3.8,212900,100M,"50,000,000+",Free,0
App_265,FINANCE,4.5,23634,5.4M,"10,000+",Free,0
App_266,GAME,3.8,23331,80M,"5,000+",Free,0
App_267,GAME,4.8,403714,100M,"1,000,000+",Free,0
App_268,TOOLS,4.5,284728,15M,100+,Free,$9.99
App_269,LIFESTYLE,3.8,398466,100M,"1,000,000+",Free,0
App_270,FAMILY,3.8,174303,5.4M,"50,000,000+",Free,0
App_271,FINANCE,,403704,15M,100+,Free,0
App_272,BUSINESS,4.1,259137,100M,"50,000,000+",Free,$9.99
App_273,FAMILY,4.1,186727,80M,"5,000+",Free,0
App_274,LIFESTYLE,4.8,412488,80M,100+,Free,0
App_275,PRODUCTIVITY,5.0,380985,32M,"50,000,000+",Free,0
App_276,BUSINESS,,183878,100M,"5,000+",Free,0
App_277,PRODUCTIVITY,4.5,135514,Varies with device,"1,000,000+",Free,0
App_278,TOOLS,4.1,95267,100M,"5,000+",Paid,0
App_279,TOOLS,3.8,64301,15M,"10,000+",Free,0
App_280,GAME,4.5,210186,15M,"5,000+",Free,0
App_281,PRODUCTIVITY,4.5,190481,100M,"5,000+",Free,$0.99
App_282,LIFESTYLE,4.1,389754,5.4M,"10,000+",Free,0
App_283,FINANCE,5.0,472940,80M,"50,000,000+",Free,0
App_284,BUSINESS,3.8,312582,15M,"50,000,000+",Free,0
App_285,FAMILY,4.1,218813,80M,"5,000+",Free,0
App_286,LIFESTYLE,3.2,393528,15M,"10,000+",Free,0
App_287,LIFESTYLE,4.1,475784,32M,"10,000+",Free,0
App_288,TOOLS,3.8,393281,Varies with device,"1,000,000+",Free,0
App_289,PRODUCTIVITY,3.8,111327,15M,"50,000,000+",Free,0
App_290,GAME,3.8,139799,80M,100+,Free,0
App_291,GAME,4.5,389603,32M,"50,000,000+",Free,0
App_292,BUSINESS,4.5,290853,15M,"50,000,000+",Free,0
App_293,TOOLS,4.5,73696,5.4M,"1,000,000+",Free,0
App_294,LIFESTYLE,,67671,Varies with device,100+,Paid,0
App_295,FINANCE,4.1,44257,15M,"1,000,000+",Free,$4.99
App_296,TOOLS,4.1,245131,32M,100+,Free,$0.99
App_297,BUSINESS,4.8,147830,5.4M,"5,000+",Free,0
App_298,BUSINESS,4.1,367267,100M,100+,Free,0
App_299,TOOLS,,266775,32M,"1,000,000+",Free,0
App_300,BUSINESS,3.2,146116,32M,"50,000,000+",Free,0
App_1,PRODUCTIVITY,3.2,129705,5.4M,"10,000+",Free,0
App_2,BUSINESS,4.5,415926,5.4M,"5,000+",Free,0
App_3,FINANCE,4.1,296774,100M,"10,000+",Free,0
App_4,PRODUCTIVITY,4.5,234296,5.4M,100+,Free,0
App_5,TOOLS,3.8,128158,Varies with device,"10,000+",Paid,0
App_6,FINANCE,4.5,282713,80M,"10,000+",Free,0
App_7,FINANCE,4.1,486271,32M,"1,000,000+",Free,0
App_8,PRODUCTIVITY,5.0,355550,32M,"10,000+",Free,0
App_9,FAMILY,3.8,192724,100M,"10,000+",Paid,0
App_10,TOOLS,4.1,207621,5.4M,100+,Free,0
