Area_SqFt,Bedrooms,Age_Years,Location,Price
2315.0,4,4,Suburbs,433400.0
2265.0,3,20,Rural,349000.0
1380.0,1,4,Rural,199300.0
1645.0,1,9,Rural,201600.0
1965.0,2,9,Rural,291700.0
2287.0,3,18,Suburbs,397200.0
1560.0,4,16,Rural,257200.0
1707.0,5,20,Downtown,418800.0
1246.0,5,13,Downtown,378800.0
1201.0,4,8,Rural,227300.0
2206.0,2,13,Rural,337800.0
2478.0,5,0,Downtown,550400.0
1763.0,3,18,Downtown,389100.0
2301.0,2,12,Suburbs,375000.0
1980.0,3,12,Downtown,457900.0
1477.0,1,3,Downtown,299400.0
1980.0,2,29,Rural,278100.0
2569.0,5,0,Downtown,596700.0
1782.0,2,16,Suburbs,339300.0
2582.0,2,7,Downtown,483700.0
490.0,2,1,Rural,65900.0
2210.0,2,27,Rural,285700.0
1843.0,3,7,Downtown,381300.0
1650.0,1,6,Rural,269400.0
1845.0,4,25,Suburbs,315700.0
806.0,2,25,Suburbs,120500.0
1690.0,5,1,Downtown,490200.0
1978.0,2,21,Downtown,357700.0
2538.0,5,21,Downtown,579400.0
1540.0,3,2,Rural,228300.0
1395.0,5,26,Suburbs,334200.0
1549.0,4,17,Suburbs,257700.0
2257.0,1,11,Rural,266500.0
1964.0,5,0,Suburbs,406000.0
1535.0,5,21,Downtown,434300.0
2056.0,1,11,Downtown,399400.0
1848.0,4,4,Downtown,444000.0
2284.0,2,29,Suburbs,391500.0
1448.0,5,29,Downtown,441300.0
1636.0,1,26,Rural,216000.0
1603.0,3,24,Rural,231100.0
1068.0,1,16,Suburbs,155500.0
1948.0,3,15,Rural,277000.0
1930.0,4,14,Rural,335200.0
1802.0,2,22,Suburbs,253200.0
1682.0,1,14,Downtown,354300.0
1092.0,5,4,Downtown,414100.0
1589.0,4,20,Downtown,412300.0
1628.0,1,13,Suburbs,241900.0
1398.0,5,1,Rural,306700.0
1719.0,1,10,Downtown,391400.0
2002.0,3,18,Downtown,473000.0
2743.0,1,6,Suburbs,404200.0
1887.0,1,5,Downtown,394800.0
1928.0,1,27,Suburbs,277800.0
1762.0,4,1,Rural,343300.0
840.0,1,5,Suburbs,154600.0
1786.0,5,17,Suburbs,313300.0
1830.0,3,1,Suburbs,339600.0
3031.0,3,17,Suburbs,514200.0
1703.0,1,29,Rural,169800.0
1950.0,4,14,Rural,350200.0
1782.0,4,26,Downtown,378000.0
1215.0,5,18,Rural,225700.0
2371.0,1,1,Rural,373000.0
2175.0,3,19,Downtown,436400.0
2195.0,4,24,Rural,374800.0
1345.0,1,5,Suburbs,176900.0
2501.0,4,0,Suburbs,527200.0
1099.0,4,23,Downtown,309600.0
2093.0,3,14,Downtown,454500.0
2895.0,2,27,Downtown,536300.0
1304.0,5,29,Suburbs,301000.0
1516.0,5,22,Rural,248000.0
1849.0,3,9,Suburbs,341400.0
1548.0,4,18,Downtown,374100.0
1024.0,1,16,Rural,77200.0
1834.0,4,4,Rural,355000.0
1268.0,3,28,Suburbs,222800.0
2036.0,5,3,Downtown,512900.0
1340.0,4,9,Suburbs,294700.0
2574.0,5,23,Rural,435100.0
1408.0,1,16,Suburbs,266400.0
1638.0,5,9,Suburbs,358700.0
2206.0,5,16,Downtown,477800.0
1184.0,2,27,Downtown,265200.0
1913.0,2,19,Rural,286600.0
2453.0,2,23,Suburbs,403700.0
996.0,5,4,Suburbs,242400.0
1892.0,3,1,Suburbs,380800.0
1929.0,5,5,Rural,324300.0
2190.0,3,20,Rural,368100.0
1181.0,3,1,Downtown,298000.0
1139.0,2,12,Downtown,280800.0
2060.0,4,29,Downtown,480800.0
1948.0,1,10,Suburbs,308200.0
1925.0,2,10,Suburbs,347200.0
1973.0,2,15,Downtown,423400.0
1459.0,4,10,Suburbs,339000.0
1916.0,1,18,Downtown,397400.0
1946.0,5,14,Rural,348800.0
1442.0,5,24,Downtown,408300.0
2732.0,2,22,Rural,355200.0
2036.0,1,22,Suburbs,302600.0
1204.0,2,15,Downtown,313100.0
2128.0,3,10,Suburbs,385500.0
1312.0,2,21,Rural,192800.0
2193.0,2,15,Rural,315600.0
2379.0,5,7,Rural,461700.0
1389.0,5,3,Suburbs,327700.0
2281.0,5,7,Suburbs,447100.0
2006.0,3,3,Suburbs,394500.0
2211.0,5,23,Suburbs,393900.0
2748.0,1,24,Rural,380900.0
1677.0,4,2,Rural,283100.0
1423.0,1,2,Downtown,348000.0
1355.0,1,26,Downtown,270500.0
1392.0,5,28,Suburbs,303600.0
1761.0,4,17,Rural,314100.0
1970.0,4,28,Rural,273700.0
1938.0,4,25,Rural,304400.0
2213.0,3,18,Downtown,491400.0
1806.0,5,18,Downtown,476000.0
2526.0,4,20,Rural,422000.0
1667.0,3,4,Rural,246500.0
3160.0,2,17,Rural,478200.0
2112.0,2,27,Downtown,432200.0
1371.0,3,9,Rural,231000.0
1264.0,3,28,Rural,221600.0
2041.0,5,21,Suburbs,388900.0
1688.0,5,20,Suburbs,341500.0
2157.0,2,5,Downtown,385400.0
2036.0,4,0,Rural,388400.0
1763.0,2,4,Rural,277500.0
1376.0,4,8,Suburbs,254800.0
1042.0,4,11,Downtown,279100.0
1576.0,5,25,Suburbs,309600.0
2228.0,1,13,Suburbs,363400.0
1907.0,1,1,Suburbs,302300.0
1177.0,3,16,Suburbs,212200.0
1886.0,5,13,Rural,327100.0
1992.0,4,25,Rural,302500.0
1358.0,1,12,Suburbs,166000.0
1876.0,4,26,Downtown,400000.0
1829.0,1,8,Downtown,343000.0
1228.0,1,25,Downtown,276300.0
1978.0,1,24,Downtown,368800.0
2080.0,5,14,Suburbs,399600.0
2341.0,2,24,Rural,390100.0
2326.0,4,21,Downtown,487100.0
1111.0,5,14,Suburbs,304000.0
1331.0,5,23,Downtown,417600.0
2057.0,5,29,Downtown,439500.0
2056.0,5,10,Suburbs,423200.0
2057.0,5,15,Rural,362600.0
3726.0,3,28,Rural,545300.0
2085.0,4,16,Suburbs,407400.0
2367.0,5,25,Rural,394500.0
2277.0,4,3,Suburbs,425600.0
2125.0,3,0,Suburbs,389500.0
1642.0,3,7,Suburbs,303600.0
2179.0,4,16,Rural,338300.0
1413.0,1,2,Suburbs,254400.0
1681.0,2,28,Downtown,374800.0
1557.0,1,19,Rural,204300.0
1840.0,1,14,Rural,234800.0
2957.0,1,14,Rural,394100.0
866.0,5,23,Rural,169700.0
2143.0,3,21,Downtown,510200.0
993.0,1,13,Rural,141800.0
1564.0,3,25,Rural,218600.0
2344.0,4,27,Suburbs,423300.0
1832.0,2,22,Rural,249300.0
1261.0,4,13,Downtown,368100.0
1442.0,4,23,Downtown,382300.0
2139.0,5,1,Downtown,551700.0
1434.0,2,12,Downtown,309400.0
1908.0,4,25,Rural,318800.0
1822.0,4,13,Rural,274000.0
1474.0,2,26,Downtown,288500.0
2871.0,2,23,Downtown,555200.0
2116.0,4,18,Rural,332000.0
787.0,2,6,Downtown,219800.0
1893.0,4,2,Suburbs,381300.0
1469.0,4,14,Downtown,400900.0
2226.0,5,22,Downtown,486000.0
1403.0,1,13,Suburbs,132800.0
1742.0,4,10,Suburbs,327500.0
2052.0,3,14,Rural,356100.0
2232.0,1,27,Rural,296000.0
1199.0,1,12,Suburbs,223500.0
1632.0,1,17,Suburbs,221100.0
1562.0,5,25,Rural,248300.0
1473.0,4,5,Downtown,406500.0
2682.0,5,2,Suburbs,530900.0
2002.0,4,18,Rural,346300.0
