fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.9,0.57,0.26,0.2,0.078,1,137,0.9929,3.36,0.34,9.4,6
7.6,0.77,0.26,1.3,0.097,23,151,0.9969,3.36,0.49,10.2,7
7.1,0.67,0.55,1.2,0.128,37,66,0.9964,3.4,0.4,10.4,5
9.3,0.49,0.34,0.8,0.11,8,67,0.998,3.14,0.54,10.3,6
10.1,0.52,0.17,3.2,0.094,13,30,0.9971,3.47,0.64,10.7,6
9.9,0.35,0.34,1.7,0.104,8,91,0.9952,3.3,0.4,11.8,7
6.9,0.52,0.11,0.2,0.2,23,78,0.9961,3.41,0.49,11.5,6
7.8,0.47,0.13,0.6,0.084,43,140,0.9951,3.15,0.48,9.1,6
8.9,0.57,0.37,2.9,0.096,1,96,0.9989,3.08,0.69,11.0,6
10.0,0.38,0.31,0.2,0.136,24,58,0.9967,3.43,0.66,11.7,7
7.5,0.61,0.69,4.8,0.139,35,156,1.0005,3.37,0.53,10.8,5
8.0,0.78,0.27,1.7,0.143,24,124,0.9966,3.17,0.68,11.5,5
6.4,0.5,0.44,1.6,0.117,17,98,0.9953,3.18,0.56,12.4,3
6.3,0.59,0.47,2.2,0.033,5,94,0.9937,3.48,0.6,11.4,6
9.7,0.64,0.01,4.4,0.164,20,137,0.9931,3.13,0.93,10.6,6
10.6,0.45,0.5,1.1,0.033,21,149,0.9935,3.56,0.88,11.4,5
8.2,0.56,0.13,2.8,0.101,40,126,0.9972,3.17,0.43,10.5,6
10.0,0.52,0.72,2.1,0.052,31,136,0.9977,3.41,0.79,10.4,5
8.9,0.54,0.11,0.8,0.084,36,80,0.9935,3.26,0.79,10.0,5
7.2,0.39,0.31,5.3,0.102,11,95,0.9985,3.4,0.45,12.0,8
8.9,0.52,0.06,4.0,0.102,15,42,0.9957,3.23,0.79,9.6,5
10.9,0.6,0.75,2.7,0.107,19,90,0.997,3.29,0.91,11.9,4
8.2,0.77,0.38,4.8,0.163,7,70,0.9999,3.32,0.46,10.9,6
11.0,0.68,0.45,5.0,0.108,28,70,0.9985,3.16,0.49,9.0,6
3.8,0.89,0.05,3.1,0.076,43,107,0.9962,3.42,0.82,10.8,4
9.7,0.39,0.56,4.5,0.132,5,37,0.9949,3.23,0.7,8.3,6
8.4,0.67,0.16,3.0,0.143,5,52,0.9924,3.28,0.74,11.0,6
7.8,0.55,0.67,2.8,0.029,30,95,0.9953,3.16,0.71,11.3,5
8.5,0.89,0.15,2.4,0.115,32,26,0.9963,2.93,0.72,9.8,5
4.9,0.38,0.14,3.5,0.12,8,107,0.9947,3.28,0.42,10.5,6
7.9,0.38,0.03,0.4,0.073,10,107,0.9964,3.67,0.83,12.4,5
8.9,0.42,0.35,5.3,0.152,38,74,0.9969,3.43,0.85,9.9,7
10.8,0.16,0.42,5.1,0.08,32,83,0.9963,3.31,0.61,9.3,6
7.4,0.43,0.05,0.1,0.093,28,94,0.9954,3.27,0.64,11.9,8
6.9,0.39,0.58,4.4,0.079,17,14,0.997,3.31,0.39,12.4,5
7.4,0.55,0.34,0.3,0.088,31,11,0.9976,3.39,0.74,10.4,7
9.9,0.58,0.39,1.0,0.035,8,31,0.9945,3.13,0.75,11.4,5
8.9,0.84,0.33,3.4,0.019,40,121,0.9995,3.48,0.64,11.7,5
7.4,0.68,0.3,0.4,0.162,25,66,0.9965,3.42,0.84,9.7,4
9.2,0.42,0.42,4.3,0.047,9,75,0.9967,3.42,0.59,9.9,4
8.5,0.37,0.12,4.5,0.04,2,83,0.9981,3.38,0.75,11.6,6
9.9,0.6,0.14,1.8,-0.014,15,107,0.9972,3.31,0.48,12.1,5
7.1,0.3,0.65,0.0,0.057,3,153,0.9986,3.41,0.65,11.0,5
7.7,0.83,0.71,0.8,0.025,36,121,0.9973,3.4,0.62,9.5,6
7.6,0.72,0.28,2.4,0.164,4,134,0.9955,3.26,0.69,12.4,5
5.8,0.44,0.2,9.9,0.134,14,95,0.9974,3.22,0.59,9.9,6
8.8,0.23,0.48,2.5,0.055,41,85,0.9944,3.33,0.63,10.1,5
8.7,0.75,0.31,0.8,0.193,41,97,0.9969,3.54,0.79,10.7,6
8.3,0.5,0.02,2.5,0.133,25,47,0.9966,3.12,0.58,12.0,6
7.9,0.73,0.12,1.9,0.072,10,68,0.9963,3.09,0.38,11.3,5
5.9,0.25,0.54,3.8,-0.03,21,147,0.9964,3.33,0.95,10.8,5
7.6,0.42,0.49,0.3,0.195,36,108,0.9929,3.32,0.88,10.9,5
7.7,0.52,0.02,3.6,0.022,12,72,0.9956,3.34,0.43,10.4,6
6.9,0.53,0.17,1.9,0.01,27,58,0.9969,3.35,0.77,11.0,5
8.0,0.44,0.17,8.2,0.135,40,41,0.997,3.28,0.56,7.9,5
9.0,0.63,0.5,1.0,0.202,2,144,0.9946,3.53,0.69,10.1,5
11.5,0.34,0.01,2.5,0.152,13,30,0.9992,3.07,0.7,10.6,5
8.6,0.5,0.08,6.7,0.114,32,29,0.995,3.19,0.61,9.2,5
8.7,0.54,0.6,0.3,0.115,31,136,0.9986,3.29,0.52,10.8,6
8.2,0.61,0.13,6.9,0.127,16,77,0.9976,3.06,0.53,10.2,5
5.0,0.64,0.49,2.9,0.123,32,119,0.9954,3.28,0.49,12.2,5
8.3,0.33,0.18,0.2,0.1,32,125,1.0003,3.56,0.51,12.0,6
8.4,0.26,0.07,0.9,0.092,34,152,0.9943,3.31,0.64,9.9,6
12.5,0.74,0.18,3.1,0.084,11,129,0.9985,3.34,0.53,10.2,5
8.0,0.58,0.54,0.2,0.052,10,88,0.9987,3.12,0.77,10.3,5
8.8,0.39,0.64,2.2,0.074,15,125,0.9954,3.22,0.9,9.9,5
8.2,0.78,0.62,1.1,0.007,17,101,0.9995,3.25,0.55,10.6,7
6.3,0.54,0.3,2.4,0.082,40,23,0.9962,3.26,0.69,9.6,5
10.2,0.72,0.5,0.1,0.041,18,134,0.9973,3.5,0.73,9.3,7
9.6,0.53,0.15,5.1,0.035,9,67,0.9972,3.39,0.73,11.0,6
9.6,0.87,0.22,9.1,0.095,25,37,0.9964,3.14,0.66,11.0,6
6.8,0.82,0.67,8.7,0.152,40,35,0.9983,3.35,0.78,9.6,4
10.7,0.48,0.01,3.5,0.13,14,122,0.9983,3.38,0.73,11.3,5
5.9,0.69,0.06,0.3,0.013,25,75,0.9932,3.48,0.44,9.8,5
9.3,0.63,0.16,3.5,0.04,22,140,0.9993,3.55,0.8,10.7,5
12.0,0.75,0.02,0.1,0.131,30,53,0.9934,3.16,0.8,11.2,6
6.6,0.36,0.14,0.1,0.041,20,106,0.9988,3.19,0.52,10.4,7
7.3,0.64,0.44,1.0,0.076,21,51,0.999,3.12,0.66,10.9,6
8.5,0.7,0.32,1.7,0.113,44,15,0.9945,3.27,0.77,9.9,6
7.4,0.22,0.67,3.7,0.041,32,32,0.9959,3.38,0.61,10.2,4
5.7,0.32,0.61,2.9,0.092,21,98,0.9945,3.46,0.83,10.2,5
8.4,0.17,0.26,1.5,0.024,35,132,0.9963,3.3,1.05,9.7,5
6.5,0.47,0.19,0.8,0.059,32,156,0.9961,3.26,0.52,10.2,6
9.1,0.64,0.28,14.6,0.102,30,60,0.9983,3.33,0.42,8.9,7
6.7,0.78,0.44,1.4,0.012,39,20,0.9993,3.18,0.7,9.9,6
10.9,0.53,0.2,1.5,0.108,12,21,0.9995,3.62,0.77,10.1,5
7.0,0.8,0.47,0.4,0.086,41,83,0.9956,3.07,0.61,10.1,5
7.8,0.29,0.31,4.0,0.113,18,17,0.9963,3.34,0.9,10.2,6
9.7,0.23,0.41,3.0,0.098,21,50,0.9933,3.61,0.42,10.3,5
6.2,0.51,0.33,0.6,0.151,13,94,0.9951,3.31,0.77,10.9,6
8.7,0.59,0.22,0.2,0.093,21,81,0.9986,3.28,0.55,11.3,6
10.5,0.51,0.71,2.9,0.067,8,64,0.9999,3.26,0.94,9.8,6
5.6,0.17,0.57,2.7,0.093,40,146,0.9942,3.28,0.99,9.2,5
8.6,0.5,0.11,0.8,0.113,7,56,0.9955,3.52,0.52,9.4,5
8.7,0.3,0.65,7.5,0.089,23,152,0.9966,2.98,0.56,9.9,5
9.6,0.63,0.37,0.4,0.089,44,113,0.9973,3.54,0.8,10.0,5
6.2,0.58,0.67,1.4,0.054,32,51,0.9951,3.1,0.58,9.6,5
6.1,0.36,0.6,7.2,0.056,11,69,0.9975,3.27,0.64,9.1,6
9.2,0.43,0.32,1.4,0.021,22,21,0.9958,3.25,0.65,9.9,6
8.8,0.34,0.02,2.5,0.169,22,139,0.9967,3.4,0.32,10.6,5
8.7,0.51,0.2,1.3,0.029,43,16,0.9978,3.07,0.65,11.0,5
8.9,0.68,0.41,0.8,0.054,25,89,0.9967,3.38,0.53,9.8,5
7.1,0.35,0.48,10.3,0.053,22,140,0.9958,3.61,0.57,10.0,5
8.7,0.61,0.19,1.3,0.129,28,118,0.9965,3.11,0.9,9.5,6
8.8,0.43,0.1,5.6,0.073,29,12,0.9965,3.34,0.44,10.4,4
7.1,0.39,0.63,0.7,0.146,13,36,0.996,3.21,0.79,9.6,5
11.5,0.5,0.74,0.6,0.055,18,123,0.9962,3.37,0.6,11.0,5
9.1,0.34,0.39,0.1,0.1,2,116,0.9999,3.31,0.6,8.6,6
6.3,0.43,0.13,2.6,0.048,29,49,0.9978,3.21,0.78,10.0,6
9.4,0.32,0.2,1.1,0.188,21,138,0.9961,3.38,0.71,10.7,5
6.6,0.85,0.01,5.0,0.031,15,17,0.9981,3.58,0.75,10.6,6
9.6,0.53,0.69,1.6,0.102,27,110,0.996,3.28,0.81,13.1,6
10.3,0.4,0.09,8.6,0.117,31,133,0.999,3.42,0.59,10.7,7
6.9,0.56,0.43,0.5,0.106,15,116,0.9974,3.12,0.55,9.4,5
9.9,0.5,0.21,5.1,0.078,23,110,0.9965,3.17,0.47,10.3,6
9.0,0.48,0.42,3.7,0.081,24,13,0.9976,3.38,0.51,8.6,7
9.7,0.62,0.49,3.7,0.089,44,119,0.9936,3.53,1.15,10.3,7
11.5,0.65,0.62,4.7,0.08,13,28,0.9944,3.36,0.86,9.6,6
7.9,0.43,0.15,3.6,0.132,22,41,0.9943,3.26,0.42,11.3,6
7.0,0.42,0.01,2.5,0.191,43,146,0.997,3.31,0.43,9.9,5
6.8,0.47,0.1,0.4,0.061,37,21,1.0002,3.12,0.73,10.3,6
6.9,0.13,0.68,0.1,0.023,33,148,1.0012,3.4,0.74,9.8,6
8.2,0.26,0.66,6.3,0.083,3,55,0.998,3.44,0.74,12.1,6
8.9,0.75,0.45,2.4,0.208,19,128,0.9977,3.24,0.61,10.1,5
8.8,0.8,0.45,4.0,0.049,23,25,0.9931,3.24,0.63,12.2,6
9.7,0.48,0.5,1.6,0.164,29,138,0.9956,3.35,0.71,11.2,6
8.3,0.62,0.13,0.3,0.166,30,72,0.9951,3.24,0.66,10.9,5
10.8,0.57,0.69,0.3,0.061,39,118,0.9955,3.3,0.27,10.8,6
7.9,1.04,0.31,2.9,0.114,44,128,0.9964,3.62,0.61,10.8,6
12.9,0.71,0.29,1.4,0.164,25,30,0.9958,3.27,0.51,8.5,6
9.4,0.5,0.39,0.6,0.069,37,22,0.9927,3.26,0.68,10.1,5
6.8,0.36,0.04,1.7,0.077,8,13,0.9982,3.21,1.16,11.2,5
6.5,0.25,0.12,0.2,0.06,42,111,0.9946,3.42,0.71,10.4,7
9.1,0.55,0.55,2.2,0.039,16,68,0.9972,3.28,0.6,9.0,5
7.9,0.39,0.06,0.8,0.056,8,137,1.0008,3.21,0.81,10.3,6
9.5,0.28,0.45,4.0,0.029,1,36,0.9949,3.51,0.73,12.1,5
9.1,0.41,0.18,0.9,0.089,44,78,0.9916,3.52,0.72,11.6,6
8.2,0.34,0.29,1.5,0.051,5,34,0.9961,3.22,0.75,10.3,5
6.9,0.81,0.22,0.0,0.098,3,140,0.9989,3.03,1.0,11.4,6
5.7,0.67,0.27,0.2,0.014,1,106,1.0006,3.46,0.46,10.0,5
7.5,0.52,0.54,1.2,0.103,4,34,0.9942,3.21,0.73,8.7,4
9.8,0.77,0.22,1.6,0.126,40,157,0.9977,3.43,0.49,9.5,5
8.7,0.53,0.42,2.3,-0.007,35,135,0.9958,3.01,0.74,12.0,3
6.2,0.37,0.36,0.9,0.105,32,142,0.9965,3.44,0.49,10.1,7
8.6,0.78,0.5,3.0,0.145,42,18,1.002,3.13,0.58,10.2,7
9.0,0.61,0.7,4.9,0.03,34,125,0.9937,3.42,0.6,10.1,5
6.8,0.34,0.55,3.8,0.166,43,143,0.9972,3.31,0.82,12.3,6
8.6,0.49,0.16,0.1,0.107,25,69,0.9976,3.17,0.81,12.0,5
8.4,0.37,0.02,1.6,0.054,10,130,0.9989,3.25,0.44,12.6,6
6.4,0.28,0.2,0.3,0.084,21,148,0.9969,3.41,0.66,10.2,6
8.9,0.68,0.45,0.7,0.113,39,117,0.9973,3.33,0.53,10.7,7
9.3,0.84,0.04,10.8,0.091,27,117,0.9959,3.4,0.44,8.9,5
10.1,0.28,0.37,0.4,0.112,27,140,0.9972,3.61,0.61,11.9,6
10.1,0.62,0.45,1.7,0.044,2,85,0.996,3.08,0.6,9.2,5
6.0,0.41,0.25,2.4,0.095,41,39,0.9979,3.55,1.06,10.6,8
6.7,0.44,0.58,3.0,0.021,13,30,0.996,3.33,0.72,9.3,4
9.2,0.42,0.08,2.1,0.082,9,43,0.9975,3.18,0.42,9.8,6
9.2,0.37,0.06,0.0,0.045,36,50,0.9966,3.11,0.55,9.6,6
9.2,0.53,0.55,1.0,0.052,22,60,0.999,3.28,0.82,9.8,6
14.8,0.38,0.37,1.8,0.145,42,91,0.9966,3.45,1.01,9.9,5
9.3,0.57,0.52,0.2,0.138,26,67,0.9932,3.29,0.38,9.9,7
10.2,0.51,0.33,1.1,0.116,12,84,0.9992,3.54,0.33,11.2,5
9.9,0.48,0.18,0.1,0.036,17,32,0.9949,3.09,0.97,9.3,6
9.4,0.37,0.61,0.2,0.072,14,137,0.9954,3.31,0.72,10.6,5
7.8,0.42,0.6,1.3,0.144,14,159,0.9955,3.12,0.5,11.6,5
9.6,0.65,0.52,0.4,0.094,34,26,0.9994,3.36,0.74,9.9,6
7.0,0.61,0.2,2.1,0.196,20,78,0.9924,3.44,0.2,9.7,5
7.9,0.35,0.44,2.9,0.105,11,117,1.003,3.25,0.65,10.2,5
7.5,0.54,0.27,4.0,0.096,16,148,0.9988,2.92,0.71,11.6,5
8.4,0.65,0.07,0.6,0.072,31,103,0.9971,3.34,0.81,10.6,5
12.2,0.24,0.69,0.5,0.093,6,24,0.9966,3.38,0.48,9.9,6
5.1,0.61,0.1,0.3,0.08,19,100,0.9973,3.37,0.66,10.9,7
9.5,0.41,0.71,2.5,0.12,37,42,0.9977,3.5,0.49,9.3,5
5.6,0.62,0.33,3.1,0.132,4,134,0.998,3.15,0.69,11.1,5
7.5,0.39,0.14,0.1,0.05,4,25,0.9978,3.41,0.5,10.8,5
10.2,0.21,0.41,6.9,0.024,20,75,0.9969,3.49,0.58,10.1,3
8.4,0.24,0.65,0.1,0.001,10,56,0.9963,3.04,0.48,9.6,6
6.5,0.53,0.55,1.9,0.111,24,157,0.9964,3.36,0.76,9.5,6
7.1,0.56,0.6,3.1,0.035,35,133,0.9963,3.23,0.8,10.9,5
9.5,0.37,0.49,5.1,-0.014,26,10,0.999,3.3,0.61,11.6,5
7.1,0.63,0.52,3.1,0.105,37,96,0.9979,3.36,0.66,9.8,4
8.7,0.24,0.64,4.0,0.204,38,137,0.9908,3.24,0.4,10.9,6
8.4,0.51,0.19,1.0,0.087,21,76,0.998,3.21,0.6,8.3,7
7.2,0.31,0.37,4.2,0.126,40,13,0.9971,3.32,0.64,9.8,5
11.9,0.41,0.17,0.2,0.091,39,56,0.9967,3.15,1.1,10.4,5
9.4,0.53,0.74,5.6,0.082,21,47,0.9959,3.15,0.46,9.5,6
4.9,0.37,0.71,2.0,0.13,10,152,0.9989,3.41,0.9,9.5,7
8.6,0.45,0.03,4.2,0.073,38,30,0.9986,3.14,0.82,9.7,5
7.2,0.69,0.53,1.5,0.1,4,66,0.9952,3.41,0.7,10.7,4
9.7,0.42,0.69,2.6,0.102,20,126,0.9975,3.38,0.95,10.2,4
7.0,0.66,0.14,1.9,0.056,17,55,0.9948,3.05,0.71,8.2,6
8.1,0.33,0.43,3.3,0.134,7,151,0.9939,3.21,0.72,8.3,5
9.2,0.61,0.69,0.2,0.079,4,154,0.9954,3.49,0.64,9.8,4
9.8,0.77,0.03,0.2,0.051,29,48,0.9984,3.16,0.86,10.9,6
6.3,0.1,0.52,0.7,0.112,14,146,0.9986,3.24,0.84,7.7,3
7.7,0.38,0.22,0.4,0.045,3,108,0.9977,3.38,0.54,9.9,6
7.5,0.62,0.69,5.1,0.088,24,86,0.9982,3.43,0.43,9.9,5
7.2,0.49,0.73,0.6,0.087,37,124,0.9977,3.27,0.62,11.8,4
11.3,0.58,0.71,9.3,0.138,16,143,0.9954,3.22,0.51,10.0,6
9.0,0.42,0.36,1.0,0.109,4,100,0.9976,3.52,0.64,10.8,5
6.2,0.53,0.65,0.5,0.086,24,107,0.9983,3.57,0.86,10.5,7
9.9,0.49,0.63,3.9,0.125,34,129,0.9982,3.46,0.57,8.3,6
11.9,0.72,0.24,2.7,0.152,30,55,0.9991,3.32,0.64,11.2,5
10.1,0.56,0.62,1.7,0.113,18,47,0.9981,3.19,0.66,10.6,6
5.7,0.58,0.03,2.0,0.087,19,151,0.9974,3.19,0.79,10.9,5
7.5,0.45,0.45,3.2,0.025,31,109,0.9988,3.39,0.27,14.3,7
10.5,0.44,0.17,0.6,0.037,19,81,0.9966,3.37,0.55,8.3,5
7.1,0.45,0.09,14.0,0.073,19,44,0.9949,3.52,0.69,12.1,6
9.1,0.59,0.06,9.2,0.058,22,156,0.9964,3.41,0.85,10.1,4
9.6,0.45,0.52,2.6,0.078,24,39,0.9952,3.08,0.57,10.7,5
6.7,0.57,0.25,0.6,0.09,12,87,0.9953,3.47,0.33,10.4,6
8.2,0.87,0.54,2.9,0.112,30,93,0.9964,3.16,0.76,10.0,6
2.8,0.67,0.05,0.2,0.084,38,122,0.9951,3.25,0.54,9.8,5
6.6,0.46,0.24,0.1,0.11,31,34,0.9961,3.35,0.45,10.7,5
7.9,0.72,0.4,0.7,0.09,36,97,0.9929,3.61,0.54,8.9,6
6.2,0.45,0.59,1.6,-0.006,19,23,0.9971,3.78,0.62,11.2,7
11.1,0.17,0.24,5.1,0.043,36,111,0.9967,3.4,0.55,10.0,5
5.9,0.35,0.47,3.2,0.08,30,159,0.9951,3.28,0.28,9.3,5
7.6,0.2,0.66,3.4,0.03,33,92,0.998,3.39,0.8,9.9,5
8.5,0.46,0.46,1.4,0.115,18,119,0.9986,3.44,0.87,11.7,6
10.8,0.52,0.17,1.1,0.159,28,140,0.9935,3.26,0.76,9.9,5
5.9,0.8,0.02,1.2,0.144,11,28,0.9952,3.58,0.46,10.8,5
10.3,0.58,0.65,11.0,0.077,33,37,0.9952,3.34,0.62,9.7,6
8.3,0.48,0.02,0.1,0.157,17,80,0.9948,3.38,0.65,11.2,4
6.6,0.66,0.66,5.0,0.094,6,72,0.9984,3.41,0.75,11.1,6
9.1,0.14,0.4,2.2,0.071,4,82,0.9963,3.37,0.76,12.2,5
8.6,0.56,0.7,1.4,0.058,20,133,0.9962,3.44,0.53,10.2,5
7.3,0.65,0.6,3.2,0.073,27,128,0.9927,3.22,0.66,11.1,5
8.4,0.27,0.75,1.7,0.069,15,130,0.998,3.23,0.73,10.5,6
7.6,0.71,0.26,5.2,0.095,6,28,0.9942,3.14,0.9,11.7,5
8.5,0.58,0.58,5.8,0.095,14,151,0.9968,3.38,0.77,9.7,6
9.4,0.45,0.3,1.4,0.087,11,129,0.9973,3.43,0.78,11.1,6
11.0,0.63,0.36,0.8,0.108,39,70,0.9994,3.38,0.66,10.2,6
6.2,0.91,0.47,2.2,0.143,9,39,0.9941,3.56,0.89,10.3,5
11.9,0.55,0.66,6.1,0.132,26,18,0.9907,3.31,0.72,10.5,5
5.0,0.56,0.74,0.6,0.017,16,73,0.9971,3.41,0.5,10.7,5
8.0,0.44,0.58,2.4,-0.033,5,129,1.0003,3.15,0.89,10.3,5
9.3,0.38,0.31,2.5,0.131,10,61,0.9992,3.25,0.77,10.6,5
8.8,0.66,0.32,3.3,0.023,3,98,0.9971,3.41,0.57,12.0,6
7.2,0.37,0.55,0.4,0.076,13,151,0.9957,3.44,0.57,11.4,4
7.9,0.53,0.18,3.1,0.032,43,62,0.9983,3.27,0.7,11.3,4
7.5,0.44,0.08,6.0,0.002,30,87,0.9948,3.3,0.73,9.9,5
7.3,0.6,0.27,0.5,0.112,6,50,0.9977,3.08,0.68,9.5,6
9.7,0.58,0.22,0.7,0.123,17,77,0.9977,3.26,0.7,11.4,5
8.9,0.7,0.22,8.9,0.06,19,17,0.9988,3.44,0.94,11.3,6
7.1,0.43,0.18,0.5,-0.035,42,11,1.0022,3.4,0.83,11.9,5
9.8,0.47,0.03,4.8,0.061,35,114,0.9975,3.39,0.68,9.8,6
8.8,0.35,0.01,1.7,0.105,26,134,0.9957,3.32,0.81,10.2,7
9.7,0.44,0.74,0.7,0.017,5,119,0.9966,3.31,0.47,8.8,5
9.4,0.58,0.32,5.1,0.096,29,95,0.9932,3.21,0.72,10.0,5
